respondent,letter,cond,nword
R_eKBtVTtmDBqM1hP,"Concussion: functional injury. Obvious behavioral and metal. Could be worse.  Stop activity and let people know. health car professional, time for recover, not ignore the possible concussion. Symp.<Headache; Dausea; Difficulty concentrating; Balance problems or dizziness; Double or fuzzy vision; Feeling sluggish; Slower reaction time; Feeling unusually irritable; Trouble remembering things, feeling confused, or amnesia>",c2,54
R_1R22fJnF6Lpcwbr,"There are many different symptoms of concussions. It is relatively easy to recognize when concussions to occur. However, it is easy to get concussions.    If I get concussions, I would feel discomfort and have a very uncomfortable experience. Whenever I don't feel not like myself, I should check doctors",c2,49
R_42bRDSUs5W0cizP,NA,c2,1
R_5sYIlFJxMFGFlvn,"As an athlete who deals with general anxiety disorder, I hope I remember that if I think I have a concussion, I should tell somebody. If I don't, and try to play through it, I could make my mental health issues even more severe, which has the potential to damage friendships and relationships. Missing a few games is better than hiding a potential concussion and making my mental health worse.     Moreover, I hope that I remember that playing through a concussion does not make me tough. Of course it is hard to take yourself out of a game and not play, especially as someone as competitive as myself, but ignoring a concussion has long-lasting negative implications. Missing a game or two is much better than causing long term damage to my brain.",c3,132
R_1XJEp2NQbX3Ex7f,"A concussion is very hard to diagnose, so right when you are feeling any type of symptoms you should get it checked out. Some of the symptoms to be cautious of are a lasting headache, nausea, sensitivity to light/noise, dizziness, and lack of balance. If you are experiencing any of these symptoms you should tell someone right away.   Since a concussion is very hard to diagnose, it is important to go to a doctor or someone of greater knowledge on the subject right away. It is dangerous to live a normal life while dealing with a concussion so you want to get the right advice as soon as possible.",c2,109
R_2fBnos3ZOSS0fA1,"Taking away from this video, I would tell myself to always be aware of the symptoms of a concussion. Whether be a headache, irritability, or loss of balance, I should always consider a concussion to be a possibility. Furthermore, if I feel that I have a concussion in the slightest bit, I should not be afraid to tell somebody. It is better to let somebody no about the potentiality of having a concussion rather than dealing with the lasting consequences. Another thing to consider includes safer alternative methods and practices. I should always be looking for safer ways to perform tasks in order to decrease the likelihood of receiving a concussion.",c2,111
R_cYE9SWpXk0cnwHz,"I hope that you are able to remember the main points of this video. Try to recall all the painful symptoms of a concussion like, headaches, nausea, dizziness and more. If any of those are occurring make sure to reach out for help. It can be difficult to self analyze the degree of damage from a hit to the head because you may not think that all the effects are related. I suggest that if you feel more slowed down or sluggish to make sure to find assistance. It is much better to be safe with these symptoms by getting checked out for a concussion rather than letting it go.",c2,110
R_6WEmJK0VF1TMDit,Concussions are very dangerous and can change your life. They can be especially dangerous when gone unreported because getting hit while currently concussed can cause major damage and even death. Boxing is not a sport to be messing around with concussions because the chance of getting hit in the head next time you step in the ring is 100%. You are not Floyd Mayweather.       If you ever think you might have a concussion please let Marcus or a doctor know. They will take the correct steps to prevent further or long term damage from occurring. This brain is way to important to be messed up because of a stupid choice.,c3,110
R_6tZ1U87uKcn6HvT,"You should've learned that your brain is more important than sport at the end of the day. You may play sports for a decent amount of time, but you will have to live with the consequences of what happened while playing sports for the rest of your life. Your ability to think and reason is what got you to this point in life. Suffering a concussion and then not telling anyone about can take those abilities you value away.    You got lucky when you got knocked out in that fight. Your coach saw you suffer a concussion and took the decision to hide or report out of your hands. You're fortunate that she saw it because there's a good chance you wouldn't have told anyone about your symptoms and would've gotten back in the ring a week later and left yourself very susceptible to suffering another traumatic brain injury.",c3,149
R_cSe027CqY4kDxQ1,"There are lots of symptoms of concussion including headache, nausea, loss of balance, slow reaction time, easy forgetting things, etc. If any unusuals come up after a possible brain injure incident, you should get help from doctors and start resting the brain.    Be very cautious about concussion and don't ignore it because it might worsen the conditions.",c2,57
R_cU97boA0emCXhNH,"At times, it can seem simple to try and be a ""tough guy"" and not tell anyone about possible concussion like symptoms you may be having. However, the risk is just not worth the reward. Even if you continue to play in an athletic event, your performance will be severely reduced, as concussions lead to decreased athletic ability. Some of the other dangers include long term effects to your health and well being along with a prolonged recovery time if you do not seek proper care.    If you do tell someone immediately, you will be given the chance to receive proper care and diagnosis. This will allow you to get the rest you need to give your brain a chance at recovery. This will cause your recover to be faster and quicker, while at the same time limiting the long term effects which can be associated with concussions. More importantly, the risk of not telling and being able to play in one more sporting event is not anywhere near the reward of preserving your long term health, as that is a very critical factor in life.",c3,186
R_5Ayd6LihT91XYq1,"This video tells what can happen when you get a concussion and don't tell anyone. Your health is the most important thing and insuring that by diagnosing any head injury is a good idea. always tell because missing one event will have minimal impacts on your life going forward compared to missing a whole season or altering your personality because of the event.    If there is any question about a head injury, it doesn't pay to ""tough it out"", there is no toughing it out with head injuries. you brain is bleeding and until that stops all the symptoms are only going to get worse and worse and the chances of severe injury from the concussion go up as well.",c3,120
R_eRlB5eb1DEwoUSx,"Connor,  If you ever end up getting a concussion sometime in the future, remember the messages from the video. Remember the two choices you have, and all of the negative impacts that could come from not telling anyone about your concussion. Remember that your health supersedes any competition, schoolwork, or job interview that you might have scheduled in the near future. Also, by telling someone and getting proper treatment, you will actually be back to full health faster anyways, so it is a double win.  Also remember that if someone you are close to experiences an event where they think they might have received a concussion, encourage them to report it and get help. People are generally more likely to do something beneficial for themselves if they have the support of their friends/teammates/family, instead of having those same people nagging on them for being ""too soft"" or telling them to ""play through it"".",c3,153
R_eIDeENd7PWnlCpD,"Future self,  Don't keep a concussion to yourself. Tell somebody you know about it. Go to UHS if you're on campus to get the treatment you need. You are only hurting yourself if you don't tell anyone.  Because I have had a concussion before I know what it is like to go through it. I hope I never have another concussion but if I do I know I need to tell somebody. Especially in the first couple days, that is when it was the worst.   Concussions are extremely dangerous and I know the importance of reporting them. If I report that I think I may have a concussion I will get tested to know for sure and receive the treatment I need for it. It is always going to be more beneficial for myself to tell somebody about my concussion than not to tell anyone.",c3,145
